                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    152,                0.57947,                0.83342,                 1.0554,                0.77328,                  0.737,                0.79741,                0.69626,                0.51866,                0.86159,                 1.0413,              0.0025255,              0.0025255,              0.0025255
                    153,                0.57861,                0.83336,                  1.047,                0.77328,                0.73816,                0.79772,                0.69647,                0.51862,                0.86119,                 1.0413,               0.002476,               0.002476,               0.002476
                    154,                0.57555,                0.81743,                 1.0452,                0.77661,                0.73489,                0.79778,                0.69638,                0.51843,                0.86078,                 1.0413,              0.0024265,              0.0024265,              0.0024265
                    155,                0.58086,                0.83826,                 1.0566,                0.78092,                0.73113,                0.79847,                0.69691,                0.51833,                0.85992,                 1.0412,               0.002377,               0.002377,               0.002377
                    156,                0.57026,                0.81794,                 1.0439,                0.78415,                0.72967,                0.79855,                 0.6966,                0.51839,                0.85898,                 1.0415,              0.0023275,              0.0023275,              0.0023275
                    157,                0.57469,                 0.8094,                 1.0496,                0.78417,                0.73003,                0.79902,                0.69701,                0.51829,                0.85867,                 1.0416,               0.002278,               0.002278,               0.002278
                    158,                0.56805,                0.80905,                 1.0487,                0.77946,                0.73233,                0.79883,                0.69667,                0.51827,                0.85836,                 1.0418,              0.0022285,              0.0022285,              0.0022285
                    159,                 0.5736,                0.82246,                 1.0503,                0.77705,                0.73297,                0.79872,                0.69649,                 0.5184,                0.85859,                  1.042,               0.002179,               0.002179,               0.002179
                    160,                0.57024,                0.81865,                 1.0544,                0.77551,                 0.7349,                0.79893,                0.69651,                0.51853,                0.85893,                 1.0422,              0.0021295,              0.0021295,              0.0021295
                    161,                0.56433,                0.79998,                 1.0429,                0.77494,                0.73895,                0.79886,                0.69649,                0.51851,                0.85926,                 1.0423,                0.00208,                0.00208,                0.00208
                    162,                0.56964,                0.80492,                 1.0485,                0.77885,                0.73383,                0.79892,                0.69655,                0.51849,                0.85966,                 1.0424,              0.0020305,              0.0020305,              0.0020305
                    163,                0.56147,                0.79344,                 1.0453,                 0.7801,                 0.7318,                0.79888,                0.69652,                0.51841,                0.85969,                 1.0424,               0.001981,               0.001981,               0.001981
                    164,                0.56709,                0.79098,                 1.0502,                0.78164,                0.73088,                0.79897,                0.69659,                0.51831,                 0.8597,                 1.0425,              0.0019315,              0.0019315,              0.0019315
                    165,                0.56242,                0.79288,                 1.0413,                0.77626,                  0.734,                0.79907,                0.69646,                0.51824,                0.85967,                 1.0425,               0.001882,               0.001882,               0.001882
                    166,                0.56476,                0.79958,                  1.046,                0.78889,                0.72315,                0.79912,                0.69679,                 0.5184,                0.86002,                 1.0427,              0.0018325,              0.0018325,              0.0018325
                    167,                0.56682,                0.78363,                 1.0431,                0.79069,                0.72251,                0.79914,                0.69676,                0.51839,                0.86011,                 1.0429,               0.001783,               0.001783,               0.001783
                    168,                0.56186,                0.79059,                 1.0466,                0.78857,                0.72404,                0.79926,                0.69677,                0.51857,                0.86007,                 1.0431,              0.0017335,              0.0017335,              0.0017335
                    169,                0.55718,                0.77321,                 1.0411,                0.78832,                0.72363,                0.79901,                0.69663,                0.51854,                0.86046,                 1.0431,               0.001684,               0.001684,               0.001684
                    170,                0.56038,                0.78068,                 1.0455,                0.78959,                0.72301,                0.79951,                0.69705,                0.51873,                0.86047,                 1.0433,              0.0016345,              0.0016345,              0.0016345
                    171,                0.55301,                0.77596,                 1.0395,                0.78885,                0.72389,                0.79927,                0.69685,                0.51877,                0.86046,                 1.0434,               0.001585,               0.001585,               0.001585
                    172,                0.55925,                0.76847,                 1.0453,                0.78819,                0.72463,                0.79903,                0.69698,                0.51875,                0.86059,                 1.0433,              0.0015355,              0.0015355,              0.0015355
                    173,                0.54724,                0.75763,                 1.0329,                0.78771,                0.72536,                0.79887,                0.69692,                0.51877,                0.86075,                 1.0435,               0.001486,               0.001486,               0.001486
                    174,                0.54658,                0.75423,                 1.0358,                0.78815,                0.72583,                0.79881,                0.69693,                 0.5188,                 0.8605,                 1.0436,              0.0014365,              0.0014365,              0.0014365
                    175,                0.54672,                0.75998,                  1.038,                0.78658,                0.72597,                0.79873,                0.69683,                0.51883,                0.86033,                 1.0437,               0.001387,               0.001387,               0.001387
                    176,                0.55073,                0.75558,                 1.0351,                 0.7873,                0.72535,                0.79881,                0.69676,                0.51889,                0.86033,                 1.0439,              0.0013375,              0.0013375,              0.0013375
                    177,                0.54512,                0.73838,                 1.0328,                0.77985,                 0.7297,                0.79869,                0.69654,                  0.519,                 0.8602,                  1.044,               0.001288,               0.001288,               0.001288
                    178,                0.54902,                0.73667,                  1.037,                0.78465,                0.72636,                0.79875,                0.69659,                0.51895,                 0.8604,                 1.0441,              0.0012385,              0.0012385,              0.0012385
                    179,                0.54057,                 0.7346,                 1.0348,                0.78673,                0.72476,                0.79872,                0.69652,                0.51892,                0.86027,                 1.0441,               0.001189,               0.001189,               0.001189
                    180,                0.54738,                0.74699,                  1.036,                0.78744,                0.72409,                0.79871,                0.69667,                0.51891,                0.86038,                 1.0442,              0.0011395,              0.0011395,              0.0011395
                    181,                0.53741,                0.73218,                 1.0344,                0.78398,                0.72544,                0.79826,                0.69651,                0.51893,                0.86082,                 1.0443,                0.00109,                0.00109,                0.00109
                    182,                0.54097,                0.72511,                 1.0351,                0.78936,                0.72102,                0.79815,                0.69639,                0.51899,                0.86097,                 1.0443,              0.0010405,              0.0010405,              0.0010405
                    183,                0.54187,                0.73784,                 1.0304,                0.78651,                0.72346,                0.79805,                0.69633,                0.51895,                0.86141,                 1.0445,               0.000991,               0.000991,               0.000991
                    184,                0.53688,                0.72606,                 1.0317,                0.78663,                0.72308,                0.79791,                0.69616,                0.51891,                0.86165,                 1.0445,              0.0009415,              0.0009415,              0.0009415
                    185,                0.53744,                0.73386,                 1.0329,                0.77617,                0.73043,                0.79775,                0.69583,                 0.5189,                0.86185,                 1.0446,               0.000892,               0.000892,               0.000892
                    186,                 0.5318,                0.71834,                 1.0285,                 0.7879,                0.72253,                0.79751,                0.69561,                0.51892,                0.86193,                 1.0448,              0.0008425,              0.0008425,              0.0008425
                    187,                0.53524,                0.72357,                 1.0327,                0.77968,                0.72881,                0.79751,                0.69561,                0.51891,                0.86221,                 1.0449,               0.000793,               0.000793,               0.000793
                    188,                0.51974,                0.69678,                 1.0199,                0.78013,                0.72858,                0.79746,                0.69547,                0.51896,                0.86252,                  1.045,              0.0007435,              0.0007435,              0.0007435
                    189,                0.53112,                0.70603,                 1.0307,                0.78272,                0.72575,                0.79735,                0.69538,                0.51888,                0.86293,                  1.045,               0.000694,               0.000694,               0.000694
                    190,                0.52992,                0.71321,                 1.0261,                0.78936,                0.72123,                0.79755,                0.69551,                0.51894,                0.86297,                 1.0451,              0.0006445,              0.0006445,              0.0006445
                    191,                0.52913,                0.71262,                 1.0256,                0.78696,                0.72288,                0.79752,                0.69562,                0.51894,                0.86309,                 1.0452,               0.000595,               0.000595,               0.000595
                    192,                0.53457,                0.71019,                 1.0306,                0.78422,                0.72541,                0.79742,                0.69558,                0.51902,                 0.8633,                 1.0454,              0.0005455,              0.0005455,              0.0005455
                    193,                0.52731,                0.69735,                 1.0304,                0.78524,                0.72494,                0.79734,                 0.6954,                0.51908,                0.86356,                 1.0455,               0.000496,               0.000496,               0.000496
                    194,                0.52559,                0.69902,                 1.0217,                0.78438,                0.72508,                0.79731,                0.69555,                0.51915,                0.86386,                 1.0457,              0.0004465,              0.0004465,              0.0004465
                    195,                0.51942,                0.68802,                 1.0237,                0.78279,                0.72575,                0.79727,                0.69534,                0.51948,                0.86412,                 1.0462,               0.000397,               0.000397,               0.000397
                    196,                0.51976,                0.69147,                 1.0239,                0.78065,                0.72659,                0.79692,                0.69548,                0.51953,                0.86436,                 1.0463,              0.0003475,              0.0003475,              0.0003475
                    197,                0.52644,                0.68774,                 1.0273,                0.78316,                0.72425,                0.79682,                0.69529,                0.51966,                0.86453,                 1.0465,               0.000298,               0.000298,               0.000298
                    198,                0.51957,                0.68666,                 1.0245,                0.77814,                0.72696,                0.79683,                0.69526,                0.51958,                0.86472,                 1.0464,              0.0002485,              0.0002485,              0.0002485
                    199,                0.52125,                0.69138,                 1.0265,                0.78061,                0.72513,                0.79684,                0.69515,                0.51985,                0.86483,                 1.0468,               0.000199,               0.000199,               0.000199
                    200,                0.51813,                0.68298,                 1.0248,                 0.7824,                0.72486,                0.79692,                0.69511,                0.51992,                 0.8649,                 1.0469,              0.0001495,              0.0001495,              0.0001495
